PORT LOKO,KOYA,Magbeni MCHP,MAGBENI (KOYA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,216,3306-2-03590,Old
KOINADUGU,WARA WARA YAGALA,Kabala Static,BANKOLIA KABALA (WARA WARA YAGALA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL JUNIOR,403,2310-2-05275,Old
PORT LOKO,KOYA,Sumbuya CHP,MAGBENTHA (KOYA),AHMADIYYA MUSLIM PRIMARY SCHOOL,298,3306-2-03623,Old
PORT LOKO,KOYA,Mabora MCHP,MABORA (KOYA),SAINT LAURENCE ROMAN CATHOLIC PRIMARY SCHOOL,348,3306-2-03672,Old
KOINADUGU,SENGBE,Narsarah Clinic,YOGOMAIA KABALA (SENGBE),CHRIST THE KING COLLEGE,351,9999-9-99999,New
KOINADUGU,NIENI,Sumbaria CHP,ABUYA (KALIAN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,101,2303-2-05043,Old
